communication_round,dataset,measured_process_load_seconds,predicted_process_load_seconds,process_index,scientific_seed
68,shd,3.477474404,3.4752012543445066,0,7
68,shd,2.883075499,2.888474966169283,1,7
68,shd,2.794000896,2.8448112553158147,2,7
68,shd,3.463232238,3.492479349940865,3,7
69,shd,2.985235398,2.93441315130943,0,7
69,shd,3.397517979,3.4409822337880778,1,7
69,shd,3.448430291,3.466222884305937,2,7
69,shd,2.9606293089999998,3.0041322685078162,3,7
70,shd,3.244721408,3.260902655951077,0,7
70,shd,2.58845078,2.629790155678694,1,7
70,shd,3.2370023879999996,3.2487841790705563,2,7
70,shd,2.6466635419999998,2.7260902182995848,3,7
71,shd,2.981796501,2.9277477413883197,0,7
71,shd,3.595177788,3.567619381544862,1,7
71,shd,3.006833618,3.018415324994006,2,7
71,shd,4.041277324,3.9083726996307995,3,7
72,shd,2.985877387,2.9113762706959516,0,7
72,shd,3.557798495,3.5258120972025297,1,7
72,shd,3.713436123,3.735805821297806,2,7
72,shd,2.9469604140000003,2.943928363802355,3,7
73,shd,3.6552869919999997,3.581010928894049,0,7
73,shd,3.48721502,3.4692051900481022,1,7
73,shd,2.895737391,2.954250158827067,2,7
73,shd,2.900037708,2.9375022351863818,3,7
74,shd,4.054342175,4.048626424626226,0,7
74,shd,3.645735438,3.646159592082431,1,7
74,shd,3.1288886500000004,3.1063858167799294,2,7
74,shd,3.162631867,3.1182073330028786,3,7
75,shd,3.5614805290000002,3.5562156416338535,0,7
75,shd,3.5149079160000003,3.5566586801790585,1,7
75,shd,3.0994690790000003,3.0415004505461987,2,7
75,shd,3.014983232,3.027750600505038,3,7
76,shd,3.491655535,3.4673655261225553,0,7
76,shd,2.861524246,2.9022208729379386,1,7
76,shd,2.8787361330000003,2.9057451589594976,2,7
76,shd,3.5540163579999997,3.532365327240319,3,7
77,shd,2.650244161,2.666270179387608,0,7
77,shd,2.7437324189999996,2.778202948062746,1,7
77,shd,3.1974791629999997,3.2463594660406736,2,7
77,shd,3.1964744550000006,3.302773586982946,3,7
78,shd,3.526726433,3.5151808135421696,0,7
78,shd,2.8614542619999996,2.9571802784656898,1,7
78,shd,3.8628763549999996,3.8916940814597103,2,7
78,shd,2.885934368,2.952919174606701,3,7
79,shd,3.7047876769999997,3.7315315043996398,0,7
79,shd,3.6100589000000003,3.6496972938159153,1,7
79,shd,3.019129962,3.109883531366407,2,7
79,shd,3.039089471,3.0647688567744478,3,7
80,shd,3.568786098,3.590788048202123,0,7
80,shd,2.938256516,2.9543658453939354,1,7
80,shd,2.9222445009999998,2.9640099766807717,2,7
80,shd,4.028814199999999,4.100638827731795,3,7
81,shd,4.198236733,4.263972458219966,0,7
81,shd,3.110803933,3.1897675670433587,1,7
81,shd,3.0480095179999998,3.1475182875117707,2,7
81,shd,3.9954687989999997,4.036976397723412,3,7
82,shd,2.7674635519999997,2.8047396859030655,0,7
82,shd,2.680543106,2.6889243056859122,1,7
82,shd,3.229261087,3.333821935504422,2,7
82,shd,3.438570692,3.5353664412513695,3,7
83,shd,2.911652876,2.9355979066721023,0,7
83,shd,2.869817465,2.931534791871786,1,7
83,shd,3.8380996549999997,3.888726008826782,2,7
83,shd,3.402258831,3.5424409887968267,3,7
84,shd,3.558739998,3.5992053724180826,0,7
84,shd,2.933392532,2.946861574805804,1,7
84,shd,2.955975209,3.004560812503277,2,7
84,shd,3.736008393,3.812040110589229,3,7
85,shd,4.299144515,4.393233241831657,0,7
85,shd,4.312505868000001,4.4448594676530275,1,7
85,shd,3.149741525,3.2225020775059896,2,7
85,shd,3.244135026,3.2648943922676104,3,7
86,shd,3.289803259,3.355118173069344,0,7
86,shd,3.404302715,3.4050430964572085,1,7
86,shd,2.826463228,2.834014386073904,2,7
86,shd,2.814404468,2.9283619629844457,3,7
87,shd,3.0219122609999998,3.061448348728031,0,7
87,shd,4.302135985,4.284959226280278,1,7
87,shd,3.1094342929999996,3.151516543344796,2,7
87,shd,3.9521846849999998,3.9888369669827126,3,7
88,shd,3.922359042,3.967626820816384,0,7
88,shd,3.072661802,3.050995055695683,1,7
