group_dimension,group_value,mean_absolute_error,mean_signed_error,median_absolute_error,median_absolute_percentage_error,median_signed_error,model,p90_absolute_error,p90_absolute_percentage_error,percentage_denominator_floor,r_squared,root_mean_squared_error,sample_count,setting,spearman_rank_correlation,target
by_client_size_quartile,3,0.07231180637510055,-0.07231180637510055,0.06881466322237229,0.04728499468111538,-0.06881466322237229,event_structure,0.1000554558416436,0.06669338233578997,0.001,-0.47431517164056625,0.07924972496837579,318,shd_within_dataset,0.8843067982634906,client_wall_time_seconds
by_client_size_quartile,4,0.09544962224906983,-0.09544962224906983,0.09114362296424383,0.051938583186733875,-0.09114362296424383,event_structure,0.12964667785250264,0.07060187509228244,0.001,0.7276045463884537,0.10368794826140806,252,shd_within_dataset,0.8566475668072867,client_wall_time_seconds
by_sequence_length_quartile,1,0.05815528032025177,-0.05815528032025177,0.05667180838152919,0.04470051471127329,-0.05667180838152919,event_structure,0.08551011642432219,0.06441737355205372,0.001,0.1775751060939038,0.06234926240966832,238,shd_within_dataset,0.8951314436992832,client_wall_time_seconds
by_sequence_length_quartile,2,0.0779260801381743,-0.0779260801381743,0.0744084919891006,0.04706782575560318,-0.0744084919891006,event_structure,0.10777205804498902,0.0654037517244654,0.001,0.7039955114687997,0.08690294313321116,251,shd_within_dataset,0.9475505304790693,client_wall_time_seconds
by_sequence_length_quartile,3,0.0783145889041337,-0.0783145889041337,0.07230151703981091,0.04952305868602908,-0.07230151703981091,event_structure,0.11881121075574265,0.0714919700480517,0.001,0.5610808660782605,0.0862540342358333,257,shd_within_dataset,0.9166478440109048,client_wall_time_seconds
by_sequence_length_quartile,4,0.06878080490025901,-0.06875913459391768,0.060934725745940055,0.049638655390781716,-0.060934725745940055,event_structure,0.1176415468670386,0.06868896748606136,0.001,0.9667152119096328,0.07740807714211015,254,shd_within_dataset,0.9744118598417683,client_wall_time_seconds
by_communication_round_interval,1-20,0.07238155032029114,-0.07238155032029114,0.06758136126825443,0.04830866147912176,-0.06758136126825443,event_structure,0.1065583827635327,0.067050602705886,0.001,0.9034783316434781,0.08633557365385772,200,shd_within_dataset,0.9824900359870591,client_wall_time_seconds
by_communication_round_interval,21-40,0.06280915829950968,-0.06278163701045619,0.06232591565816059,0.04420428725960846,-0.06232591565816059,event_structure,0.09243440728553273,0.06282125769472412,0.001,0.9301500327974516,0.06771548635935064,200,shd_within_dataset,0.9879768108948098,client_wall_time_seconds
by_communication_round_interval,41-60,0.06650865833773985,-0.06650865833773985,0.061875240800806974,0.04464442032891014,-0.061875240800806974,event_structure,0.10096609508075768,0.06479171470487648,0.001,0.9228990859481732,0.07185774126471836,200,shd_within_dataset,0.9857049908233612,client_wall_time_seconds
by_communication_round_interval,61-80,0.07881370401192131,-0.07881370401192131,0.07529617048170245,0.053652279017634176,-0.07529617048170245,event_structure,0.12115733004248731,0.07524064656535401,0.001,0.903047370438301,0.0866462198316552,200,shd_within_dataset,0.987358035248933,client_wall_time_seconds
by_communication_round_interval,81-100,0.0744748121501871,-0.0744748121501871,0.06818793196327305,0.05041353081466625,-0.06818793196327305,event_structure,0.11685318902182268,0.06872266747402248,0.001,0.9136012675947887,0.08101590500415,200,shd_within_dataset,0.9852729792130485,client_wall_time_seconds
without_history,all,0.09459646995481824,-0.09459646995481824,0.06748614083907412,0.04735695849326264,-0.06748614083907412,event_structure,0.11442184232883237,0.07959392431622929,0.001,0.7771192089539498,0.1413018354914818,20,shd_within_dataset,0.9759398496240601,client_wall_time_seconds
with_history,all,0.0705159665559525,-0.07051034996634976,0.06601155897066269,0.04810388084565789,-0.06601155897066269,event_structure,0.10845462560968251,0.06747740391703139,0.001,0.9176194409274523,0.07729782946251955,980,shd_within_dataset,0.9864736972234499,client_wall_time_seconds
joint,all,0.048094353933391246,-0.04780614947988659,0.044018621720750106,0.03166288912785041,-0.044018621720750106,historical_spike,0.0811956027630177,0.05200613398110941,0.001,0.9538318129731782,0.05800437344267601,1000,shd_within_dataset,0.9855695295695297,client_wall_time_seconds
per_dataset,shd,0.048094353933391246,-0.04780614947988659,0.044018621720750106,0.03166288912785041,-0.044018621720750106,historical_spike,0.0811956027630177,0.05200613398110941,0.001,0.9538318129731782,0.05800437344267601,1000,shd_within_dataset,0.9855695295695297,client_wall_time_seconds
