absolute_error_seconds,dataset,model
0.23784010299999991,shd,constant
0.49188677000000003,shd,constant
0.5551114129999999,shd,constant
0.631175466,shd,constant
0.22504827299999985,shd,constant
0.5560300149999999,shd,constant
0.21522847,shd,constant
0.5111134309999998,shd,constant
0.4781239049999999,shd,constant
0.9252388439999999,shd,constant
0.6725133969999999,shd,constant
0.6867441679999999,shd,constant
0.39882363899999995,shd,constant
0.34399953800000005,shd,constant
0.9269793469999998,shd,constant
0.5646798739999999,shd,constant
1.058869365,shd,constant
0.22960204099999992,shd,constant
0.5569782919999999,shd,constant
0.2044556179999999,shd,constant
0.802183307,shd,constant
0.47627124399999987,shd,constant
0.20129663600000014,shd,constant
1.067111735,shd,constant
0.485595027,shd,constant
0.12856306399999995,shd,constant
0.708628877,shd,constant
0.521596589,shd,constant
0.2413016079999999,shd,constant
0.5049822879999999,shd,constant
0.66428642,shd,constant
0.7923936149999999,shd,constant
0.565221878,shd,constant
0.21510013699999986,shd,constant
0.6309275169999999,shd,constant
0.702114661,shd,constant
0.23318646899999984,shd,constant
0.6299107719999999,shd,constant
0.3594733539999999,shd,constant
0.7606523379999999,shd,constant
0.504649079,shd,constant
0.6775982389999999,shd,constant
0.9168157749999999,shd,constant
0.5922993599999999,shd,constant
0.6457058599999999,shd,constant
0.21435634799999992,shd,constant
0.478852783,shd,constant
0.411496015,shd,constant
0.8096918049999999,shd,constant
0.424863129,shd,constant
0.2131638629999999,shd,constant
0.4478215059999999,shd,constant
0.6127761629999999,shd,constant
0.661059936,shd,constant
0.5252707749999999,shd,constant
0.20597635000000003,shd,constant
0.21217937399999998,shd,constant
0.2582656299999999,shd,constant
0.5533031799999999,shd,constant
1.08496223,shd,constant
0.5125125749999999,shd,constant
0.43023992999999994,shd,constant
0.49488201099999984,shd,constant
0.13667129200000017,shd,constant
0.503682542,shd,constant
0.661255835,shd,constant
0.601287138,shd,constant
0.513490727,shd,constant
0.25143788499999986,shd,constant
0.698530052,shd,constant
0.710896097,shd,constant
0.590116667,shd,constant
0.257605227,shd,constant
0.6972624349999998,shd,constant
0.23211968399999994,shd,constant
0.552180409,shd,constant
0.6348701749999999,shd,constant
0.592427077,shd,constant
0.778425997,shd,constant
0.9412388679999999,shd,constant
0.5165723499999999,shd,constant
0.1775472199999999,shd,constant
0.56925223,shd,constant
0.5400972129999999,shd,constant
1.0736090539999998,shd,constant
0.690612974,shd,constant
0.7334357219999998,shd,constant
0.9538942399999999,shd,constant
0.2264169279999999,shd,constant
0.525129817,shd,constant
0.11424400800000023,shd,constant
0.69519898,shd,constant
0.821306732,shd,constant
1.1482836360000002,ssc,constant
0.6062784189999999,ssc,constant
0.2442516749999999,ssc,constant
0.728134053,ssc,constant
1.105016781,ssc,constant
0.061622151999999986,ssc,constant
0.4599355930000002,ssc,constant
0.5463568870000002,ssc,constant
0.5943202889999999,ssc,constant
0.6049653860000002,ssc,constant
